Content,Label
intel kadal gurun,2
anjing buka aib twitter,1
semangat ayo loyo,4
pegl rasis orang tidak malu begitu semenjak masuk pemerintahan serba rugi nombok suku marga tidak ngingetin begitu hiiiiiiiii,4
pdhl anjing,1
ramai fifa < I-PER/>ganjar < I-PER/>pranowo menpan rb ubah regulasi batasan usia pns,4
ngantuk banget anjing,1
sope privasi dipost disosmed bodoh,1
rosiade buzzer,3
lelaki bodoh,1
not me keluarkan duit atm pastu lupa amik duitnya lepas amik card blah huhu bodoh,3
charge keimanan warga binaan rutan < I-LOC/>pasangkayu dengarkan ceramah < I-PER/>agama ramadhan,4
bodoh,1
dikasih bpkb nemu istilah nolong anjing kejepit namanya jaminan disita dilelang peminjam nunggak hutangnya hutang macet hati,1
bodoh benar sampe kayak begini,1
waspada provokasi negatif terkait presiden< I-PER/>tial threshold,3
dekat msia ni melayu isle memang penyakit hati rasis esp parti isle k< I-PER/>onon memang smp la melayu ssh nak,4
< I-LOC/>nusantara obrolan dimeja makan bareng asisten rmh  < I-PER/>tanggaku salah pengagum < I-PER/>jokowi bi mengagumi < I-PER/>jokowi slalu,4
dimata hukum hubungan seksual orang dewasa anakanak anak korban data anak diumbar,4
warna langit kelam < I-LOC/>kufah lautan luka duka malam hati pecinta retak memikul sedih pilu,4
kaum kadrunista sok arabn jidat gosong udah suci modal gamis kafirn orang simak ka,4
tertawa anjing komentarnya,1
buzzer semoga kelindes kontener,3
ente rud ketum pdip korbankan anaknya orang < I-PER/>ganjar gubernur periode prestasinya zero prestasiminim bingitz mendingan mbak dari hc puan mahal ssos capres pdip kesempatan,4
anjing ah,1
itsme beradab tai anjing aku juga malas beradab tua kayak gitu,1
penunggang < I-PER/>agama versi < I-PER/>agama,4
kembalikan kapel ku dulu anjing,1
anjing pungli dimanamana,1
kecik mak xsekolahkn < I-PER/>agama begini sedap tgn je tulis kesian,4
mahasiswa demo siarkan tvgiliran koruptor tayangkanoligarki kuat bangsa,3
mikirnya keren bat ore pakai celana robek potong top tertawa aslinya kayak kekurangan bahan penistaan indeed,4
asmara ssma bodoh kerja tidak apa-apa presiden seumur hidup kadal gurun,2
anjing beneran bodoh orang wkwkwkwkwk demo cuman ajang keren kerenan < I-PER/>doi libur syuting,1
didu buzzer dbyar < I-ORG/>brp yax ksus embat terus bwt buzer itungna kyx begini embat bwt buzer sisaaaaa dapat < I-ORG/>brp kamu buzer uang toilet doang,1
wf muslim terorss < I-PER/>koo rasis,2
gampang kemakan click bait banget mbak bodoh kebangetan,1
< I-PER/>ndar berkeberatan mengajukan gugatan ptun lapor lapor demo ahli hukum,3
buka gemboknya cupu kamu anjing,1
baca berita segerombolan penganut < I-PER/>agama nama < I-PER/>agama anut bersukaria menelanjangi perempuan pemandu karaoke mengaraknya melemparkannya laut isis kalah bgmn caramu mengalahkan ideologi,4
bodoh diselamatkan,1
demo yes anarkis no,3
< I-PER/>prim benar benar kamu kakak kamu bunting anjing,1
< I-PER/>shanty pokoknya jualan < I-PER/>agama auto kaya raya,4
radikal kadal gurun < I-LOC/>indonesia rusuh kalau korupsi bandar judi,2
dalam perjalanan setan sekali mreka ujungnya army katany menyentuh dulu padahal situ dh kayak anjing menggonggong me< I-PER/>lulu kayak belum kasih makan tuannya,1
kayaknya wanita dicicipi diaraktrus nyicipinya pura suci< I-LOC/>sumbar salahsatu sarangnya kadrunpersis malinkundang kandungnya cicipi jugaparahhh,4
ayo,4
iya sadar gua kena pelecehan verbal pemaksaan gila sadar gua,1
< I-LOC/>pki masuk tes wawasan kebangsaan < I-LOC/>pki mengadu domba memisahkan umat islam al < I-PER/>quran tes kebangsaatan suruh pilih < I-PER/>agama pancasilabiadab tangkap dalang tes kebangsaatan,4
pendek akal perempuan ni sedih ilmu < I-PER/>agama cetek macam ni,4
anjing benar aku,1
ih bodoh sekali,1
wkwkwkudah mikir pemimpin daerah lainmalu anis baswedan anis gembar gemborkan tuduh intoleran kebalikanyaemang hrs begitu pemimpin pilih kasih warganya,4
perkuat iman warga binaan rutan < I-LOC/>pasangkayu gelar ceramah < I-PER/>agama ramadhan,4
cayah anak kunyuk koma di< I-PER/>hajar pacar < I-PER/>agnes anak penzina ta,4
ngurusi pezina pelaku pesan mesum kau puja imam fahim mawardikyai cabul jember kau anggap ulama dasar dunia kadal gurun,2
tingkatkan keimanan ramadhan rutan < I-LOC/>pasangkayu gelar ceramah < I-PER/>agama,4
anjing,1
dumdum melanggar ham pelecehantangkap orang main hakim,4
orang bodoh,1
tingkatkan kerohanian wbp rutan < I-LOC/>pasangkayu gelar kegiatan ceramah < I-PER/>agama,4
triasari muslim terlepas muslim orang paham < I-PER/>agama as mos< I-PER/>leem aku < I-PER/>agama islam < I-PER/>agama diterima tuhan as human aku percaya nilai < I-PER/>agama,4
kadey kadey dik serabut mikir nyo mari sakit palo lamo lamo demo duk takey tokleh okk doh pon kito,3
anjing l< I-PER/>agu raya remix ni,1
news demo,3
idn apa-apaan please go to hell for him pemuka < I-PER/>agama gitu aware ka,4
anjing sender kamu maju ribut babi,1
wkwkwkwkwkwkwkwk anjing banget,1
orang orang dikasih amanah ngapa kek tai anjinggitar temen gua ilang anjing,1
hdh bodoh,1
kaum liberalsekuler media mengajari perbedaan rasis islamophobia rasis antisemit anti china komunis,2
kunci perempuan kunci otak kamu goblo banget sangean kejadian pemerkosaan pelecehan control your kntl njir wanita udah nolak tetep ten< I-PER/>aga gedean pria wanita dibunuh karna pemerkosaan kek hewan manusia sangean,1
halahh kontol pas parak raya ja bodoh,1
ongko bahrawi kayak begini perha< I-PER/>tian investor pabrikusaha < I-LOC/>indonesia teroris pendukungnya bebas < I-LOC/>indonesia pendukung teroris mah enak tinggal nyalahin pemerintah khilafah atau < I-PER/>agama versinya solusi,4
< I-LOC/>korsel cantik hidup idol juga bullying warga rasis abiiiisss pokoknya begitu,4
skip < I-PER/>agama seh,4
bela fandom udah kaya bela < I-PER/>agama waras,4
id < I-PER/>aguero semenjak pensiun kayak anjing,1
semangat ayo loyo,4
iyah tahun mmh jepang berurusan sama polisi s< I-PER/>ono laporan pencurian gercep penanganannya bukti wna resmi < I-LOC/>tpi case amerika terkenal rasis orang asia ceritanya beda,4
apasih jancok p< I-PER/>agi p< I-PER/>agi orang bodoh,1
biarkan demo hak dilarang,3
aksinya pedemo melepaskan tikus putih hidup tikus masuk lobi gedu,4
kadal gurun mengamuk,2
< I-PER/>diem doang ngalah setuju debat ngobrol orang bodoh,1
percaya < I-PER/>agama direnungin,4
opik iya ditipu ped< I-PER/>agang < I-PER/>agama bani < I-LOC/>yaman cium kaki ditipu ped< I-PER/>agang < I-PER/>agama jualan < I-LOC/>palestina dibohongi foya ketua bininya bodoh tidak,4
ayo,4
enjeull asmara buzzer rp < I-PER/>yohanes pembaptis palsu narasi prestasi prediksi skor togel,3
kadal gurun naaah depanku,2
banget anjing tidur fak men maderfaker,1
alfatih marm pantes < I-LOC/>indonesia dijajah isinya orang bodoh kayak kamu,1
< I-LOC/>suai lahapakah kaum buzzer cebongers didalamny,3
ceramah diskusi < I-PER/>agama tingkatkan iman taqwa wbp rutan < I-LOC/>pasangkayu,4
anjing,1
kelas pidana saya kadang suka unik tahu pacar usia tahu pacaran dari sama hubungan seksual masuk seb< I-PER/>agai perbuatan pidana kadang ada semangat tidaak,4
lingkungan atasan adminnya kerjaan giliran bawaan disalahin ditambah pelecehan sksul,1
kadal gurun kerjaan ku cape butuh ten< I-PER/>aga kuat p< I-PER/>anasan centeng turunbolak mainan ama becek haduuuuhhh g< I-PER/>ag cocok < I-PER/>eneng,4
ayo main game capsa susun qiuqiu gaple dll bersamaku chip gratis tunggu ambil klik link,4
kunjungannya pasar legi solo presiden < I-PER/>jokowi didampingi gubernur < I-LOC/>jateng < I-PER/>ganjar < I-PER/>pranowo memakai baju selara,4
< I-LOC/>bangor achilles palungmariana sd zaky ogah sekali malesin ikut akun kaum bani kadal gurun bin kampret,2
kuhilang cuitan caption rasis kok dikatakan bawa perasaan dasar kecebong rasis,2
capek aku ai fandom tukang provokasi kamu k< I-PER/>aga dukung yuta memperkeruh suasana pakai nyudutin penggemar deh misinterpreted maksud protesnya ai dr< I-PER/>agging aku cuma yuta keadilan,1
kajian ke< I-PER/>agamaan < I-PER/>agama islam tanggal senin april wita selesai tema niatku kekuatanku pemateri ustadz irfan maulan lokasi musholla naval ltground,4
follawers wajib paham memviralkan perbuatan kejahatan dituntut penghinaan danatau pencemaran nama ba,4
bahrawi pkb ppp politisasi < I-PER/>agama lambang < I-ORG/>partainya menunjukan politisasi < I-PER/>agama politik identitas,4
calm orang logikanya somplak china rampas kedaulatan nkri kadal gurun,2
kadal gurun ko percaya,2
< I-LOC/>boyolali jawa presiden < I-PER/>joko widodo gubernur jawa < I-PER/>ganjar < I-PER/>pranowo mengecek harga bahan pokok pasar legi jalan letjen parman kota solo,4
coba memutuskan pindah pelajari < I-PER/>agama islam kayak belajar < I-PER/>agama kristen kedalaman lihat islam orangnya tapi ajarannya maaf tapi dirimu diriku islamnya keturunan pilihan coba scr sadar pelajari islam dulu,4
met p< I-PER/>agi ayo bonding paimun,4
p< I-PER/>agi bodoh,1
sapiens iman beriman menemukan tuhan delusional iman dtg dari tuhan < I-PER/>agamamu datangnya dari tuhan salah atheis salah tuhanmu kalau salah tuhanmu mau apa kamu bacot kamu udah cari tuhan lihat mukanya,4
hahahahakasihan deh kamu anak yatim kelakuannya anjing,1
anjing,1
penampakan perempuan perempuan < I-LOC/>iran mall < I-LOC/>teheran bayangkan perempuan < I-LOC/>iran paska demo besaran kema< I-PER/>tian mahsa amini,3
< I-LOC/>nusantara owhh negara milik golongan yaokeh,4
kenapa aku malas open atas pelecehan orangtua aku wkwkk aku juga nyepelein kayak begini,1
ayo dukung densus membasmi teroris kadal gurun kroninya,2
duhkenang kuliah masjid < I-LOC/>ugm alihalih simpati < I-PER/>ganjar < I-PER/>pranowo dirujak warga internet lombok insider,4
ril anjing,1
diadili seadil adilnya sudah korban mati < I-PER/>diem dituduh pelecehan seksual < I-PER/>agnes pantes dibuka sex recordnya dibutuhkan korban korban sudah sakit sakit dari dibocorkannya sex record < I-PER/>agnes,1
ustazah tu cakap in marri< I-PER/>age ni sometimes mak ajar so isterisuami kena ajar belajar kena orang diajar bodoh sombong tunggang < I-PER/>agama jugak,4
tujuan belajar ilmu < I-PER/>agama mencari keridhoan allah taala,4
menfess ni komen bodoh sekali anjrit udah jeno orang < I-PER/>agama jeno,4
kbf kimia elin menit bengong menit sokan ngerjain menit inget b< I-ORG/>brpa terus ngerjain menit lupa nebelin pensil banyak omong berbelit belit anjing,1
berjalan bareng < I-LOC/>indonesia < I-PER/>pranowo,4
relawan < I-PER/>anies kasih kendor ayo bongkar kebusukan rezim benalu bangsa kera< I-LOC/>kusannya dalam menimbun kekayaan korupsi kelewat batas sendi pemerintahan terindikasi korupsi kejahatan menang,3
typoultra konservatif india istarl dikuasai kelompok ultra konservatif sangat rasis jahat minoritas < I-LOC/>afganistan ayo rukun,4
ayo brader tunjukkan bersih sucinya < I-ORG/>republik < I-LOC/>indonesia masamu masak takut ma < I-PER/>anas,4
demokrat menorma< I-PER/>lisasi perampokan shoplifting alasan woke culture orang melawan peraturan didak,4
tidur nyenyak anjing aku cape malam batuk terus,1
perkuat iman warga binaan rutan < I-LOC/>pasangkayu gelar ceramah < I-PER/>agama ramadhan,4
buron narkoba muncul publik dilantik pejabat negara bodoh pisan statusnya buron kayanya malas nyari polisinya,1
pelecehan korban speak atas memilih menyembunyikan kotor salah kotor pelecehan marak mengganggap enteng pelecehan,1
lantang mas < I-PER/>anas menyebut skenario menyelesaikan karir politik < I-PER/>anas menje,4
mau apa belok < I-LOC/>bekasi anjing,1
halang kenderaan gangguan seksual perbuatan pemandu ke< I-PER/>lisa undang kemarahan warga internet,4
puan setali uang < I-PER/>jokowi menuntut hak laksanakan kewajiban bengis ab,4
unik heran apapun < I-PER/>agamanya dimanapun tempatnya < I-PER/>agama mayoritas otomatis show atas,4
kya bisaaa ayo < I-ORG/>reply,4
asmara warga bogorkerja jakarta saksi bgmn monas era < I-PER/>aniesyang berita bergaunggaungnya kencang suara buzzerharusnya team medsosnya < I-PER/>anies kencang suaranyajgn kalah coba stigma negatif,4
thread b< I-PER/>agus misteri menerima cinta tuhan menerimanya < I-PER/>agama mengajarkan sibuk berteduh membentengi darinya bersyukur menulis bahasa < I-LOC/>indonesia dimana tuhan multitafsir universal,4
sok ngide ngewarnain rambut eh kek tante girang anjing,1
kritik dikit kadal gurun heran aslinya mah pendukung < I-PER/>jokowi kocak aslinya,2
gaji dibayar ratusan perangkat desa demo,3
logo rasis logo,2
orang tipe begini bertindak nama < I-PER/>agama kelakuannya buruk setan,4
gua sisanya kamu anjing,1
bismillah yok semangat cari uang puter otak ditakdirkan istrinya < I-PER/>jeff bezos mark zcberg ayo inget t< I-PER/>agihan lebaran butuh duit,4
sndiri sender sudah dewasa kaya begini ditanyain disosmed karna han,4
wiiihh mantap ayo pendukungsi< I-PER/>anies serbu donk lapak aku katain < I-PER/>prabowo donk,4
dijamin masuk surga < I-PER/>agama verifikasi sebatas klaim menuntut iman pokoknya percaya,4
bully diserang dipojokan arah hina cinta dapatkan cacian,4
id < I-ORG/>republik < I-LOC/>indonesia yantie < I-PER/>nakula demo orangorang ituh,3
kampanye capres < I-PER/>anies baswedan dikotori hoaxhoax bombastis teranyar bem bikinan < I-PER/>anies baswedan kuliah < I-LOC/>ugm memimpin demo ribuan orang allah buka < I-PER/>anies,3
t< I-PER/>agih kontrakan emosi bodoh,1
exe ayo,4
statement tk puas hati ii individu tu tolong libatkan kaum < I-PER/>agama negeri bla bla bla bleh ii sakit hati ap ii tk kena pergi hadap ii la bara dalam uc ja brani ckp,4
ayo,4
meliala udahlah kadal gurun biarin,2
udien tindakan diluar batas tindakan bertentangan ajaran < I-PER/>agama,4
pede sekali anjing akun chart mah dimana update cok surpassing pick me behavior fear,1
dasar buzzer gblk,3
ayo,4
buibu insecure anaknya seumuran < I-PER/>gemas tapi belum kayak anak unik prosesnya masi,4
untung kali ekspek apaapa < I-PER/>lulu sempet kepikiran sadam < I-PER/>lulu adiknya wafda b< I-PER/>agaimana anjing ud b< I-PER/>agaimana b< I-PER/>agaimana yaudah,1
pemeluk < I-PER/>agama islam sayang kehilangan saudara se< I-PER/>agama,4
